acronysm;country;confederation name
BHR ;Bahrain;West Asian Football Federation
IRQ ;Iraq;West Asian Football Federation
JOR ;Jordan;West Asian Football Federation
KUW ;Kuwait;West Asian Football Federation
LIB ;Lebanon;West Asian Football Federation
OMA ;Oman;West Asian Football Federation
PLE ;Palestine;West Asian Football Federation
QAT ;Qatar;West Asian Football Federation
KSA ;Saudi Arabia;West Asian Football Federation
SYR ;Syria;West Asian Football Federation
UAE ;United Arab Emirates;West Asian Football Federation
YEM ;Yemen;West Asian Football Federation
CAFA;Afghanistan;Central Asian Football Association
CAFA;Iran;Central Asian Football Association
CAFA;Kyrgyzstan;Central Asian Football Association
CAFA;Tajikistan;Central Asian Football Association
CAFA;Turkmenistan;Central Asian Football Association
CAFA;Uzbekistan;Central Asian Football Association
SAFF ;Bangladesh;South Asian Football Federation
SAFF ;Bhutan;South Asian Football Federation
SAFF ;India;South Asian Football Federation
SAFF ;Maldives;South Asian Football Federation
SAFF ;Nepal;South Asian Football Federation
SAFF ;Pakistan;South Asian Football Federation
SAFF ;Sri Lanka;South Asian Football Federation
AFF ;Australia;ASEAN (Association of Southeast Asian Nations) Football Federation
AFF ;Brunei;ASEAN (Association of Southeast Asian Nations) Football Federation
AFF ;Cambodia;ASEAN (Association of Southeast Asian Nations) Football Federation
AFF ;Indonesia;ASEAN (Association of Southeast Asian Nations) Football Federation
AFF ;Laos;ASEAN (Association of Southeast Asian Nations) Football Federation
AFF ;Malaysia;ASEAN (Association of Southeast Asian Nations) Football Federation
AFF ;Myanmar;ASEAN (Association of Southeast Asian Nations) Football Federation
AFF ;Philippines;ASEAN (Association of Southeast Asian Nations) Football Federation
AFF ;Singapore;ASEAN (Association of Southeast Asian Nations) Football Federation
AFF ;Thailand;ASEAN (Association of Southeast Asian Nations) Football Federation
AFF ;Timor;ASEAN (Association of Southeast Asian Nations) Football Federation
AFF ;Vietnam;ASEAN (Association of Southeast Asian Nations) Football Federation
UNAF ;Algeria;Union of North African Football Federations
UNAF ;Egypt;Union of North African Football Federations
UNAF ;Libya;Union of North African Football Federations
UNAF ;Morocco;Union of North African Football Federations
UNAF ;Tunisia;Union of North African Football Federations
WAFU;Cape Verde;UFOA - West African Football Union
WAFU;Gambia;UFOA - West African Football Union
WAFU;Guinea;UFOA - West African Football Union
WAFU;Guinea Bissau;UFOA - West African Football Union
WAFU;Liberia;UFOA - West African Football Union
WAFU;Mali;UFOA - West African Football Union
WAFU;Mauritania;UFOA - West African Football Union
WAFU;Senegal;UFOA - West African Football Union
WAFU;Sierra Leone;UFOA - West African Football Union
WAFU;Benin;UFOA - West African Football Union
WAFU;Burkina Faso;UFOA - West African Football Union
WAFU;Ghana;UFOA - West African Football Union
WAFU;Ivory Coast;UFOA - West African Football Union
WAFU;Niger;UFOA - West African Football Union
WAFU;Nigeria;UFOA - West African Football Union
WAFU;Togo;UFOA - West African Football Union
UNIFFAC;Cameroon;Central African Football Federations' Union
UNIFFAC;Central African Republic;Central African Football Federations' Union
UNIFFAC;Chad;Central African Football Federations' Union
UNIFFAC;Congo;Central African Football Federations' Union
UNIFFAC;Democratic Republic of the Congo;Central African Football Federations' Union
UNIFFAC;Equatorial Guinea;Central African Football Federations' Union
UNIFFAC;Gabon;Central African Football Federations' Union
UNIFFAC;São Tomé and Príncipe;Central African Football Federations' Union
CECAFA ;Burundi;Council for East and Central Africa Football Associations
CECAFA ;Djibouti;Council for East and Central Africa Football Associations
CECAFA ;Eritrea;Council for East and Central Africa Football Associations
CECAFA ;Ethiopia;Council for East and Central Africa Football Associations
CECAFA ;Kenya;Council for East and Central Africa Football Associations
CECAFA ;Rwanda;Council for East and Central Africa Football Associations
CECAFA ;Somalia;Council for East and Central Africa Football Associations
CECAFA ;South Sudan;Council for East and Central Africa Football Associations
CECAFA ;Sudan;Council for East and Central Africa Football Associations
CECAFA ;Tanzania;Council for East and Central Africa Football Associations
CECAFA ;Uganda;Council for East and Central Africa Football Associations
CECAFA ;Zanzibar;Council for East and Central Africa Football Associations
COSAFA ;Angola;Council of Southern Africa Football Associations
COSAFA ;Botswana;Council of Southern Africa Football Associations
COSAFA ;Comoros;Council of Southern Africa Football Associations
COSAFA ;Eswatini;Council of Southern Africa Football Associations
COSAFA ;Lesotho;Council of Southern Africa Football Associations
COSAFA ;Madagascar;Council of Southern Africa Football Associations
COSAFA ;Malawi;Council of Southern Africa Football Associations
COSAFA ;Mauritus;Council of Southern Africa Football Associations
COSAFA ;Mozambique;Council of Southern Africa Football Associations
COSAFA ;Namibia;Council of Southern Africa Football Associations
COSAFA ;Seychelles;Council of Southern Africa Football Associations
COSAFA ;Réunion;Council of Southern Africa Football Associations
COSAFA ;South Africa;Council of Southern Africa Football Associations
COSAFA ;Zambia;Council of Southern Africa Football Associations
COSAFA ;Zimbabwe;Council of Southern Africa Football Associations
NAFU ;Canada;North American Zone
NAFU ;Mexico;North American Zone
NAFU ;United States;North American Zone
UNCAF ;Belize;Central American Zone
UNCAF ;Costa Rica;Central American Zone
UNCAF ;El Salvador;Central American Zone
UNCAF ;Guatemala;Central American Zone
UNCAF ;Honduras;Central American Zone
UNCAF ;Nicaragua;Central American Zone
UNCAF ;Panama;Central American Zone
CFU ;Anguilla;Caribbean Zone
CFU ;Antigua and Barbuda;Caribbean Zone
CFU ;Aruba;Caribbean Zone
CFU ;Bahamas;Caribbean Zone
CFU ;Barbados;Caribbean Zone
CFU ;Bermuda;Caribbean Zone
CFU ;Bonaire;Caribbean Zone
CFU ;British Virgin Islands;Caribbean Zone
CFU ;Cayman Islands;Caribbean Zone
CFU ;Cuba;Caribbean Zone
CFU ;Curaçao;Caribbean Zone
CFU ;Dominica;Caribbean Zone
CFU ;Dominican Republic;Caribbean Zone
CFU ;French Guiana;Caribbean Zone
CFU ;Grenada;Caribbean Zone
CFU ;Guadeloupe;Caribbean Zone
CFU ;Guyana;Caribbean Zone
