country,flag_URL
Scotland,https://countryflagsapi.com/png/Scotland
England,https://countryflagsapi.com/png/England
Wales,https://countryflagsapi.com/png/Wales
Ireland,https://countryflagsapi.com/png/Ireland
United States,https://countryflagsapi.com/png/United States
Uruguay,https://countryflagsapi.com/png/Uruguay
Austria,https://countryflagsapi.com/png/Austria
Hungary,https://countryflagsapi.com/png/Hungary
Argentina,https://countryflagsapi.com/png/Argentina
Belgium,https://countryflagsapi.com/png/Belgium
France,https://countryflagsapi.com/png/France
Netherlands,https://countryflagsapi.com/png/Netherlands
Bohemia,https://countryflagsapi.com/png/Bohemia
Switzerland,https://countryflagsapi.com/png/Switzerland
Sweden,https://countryflagsapi.com/png/Sweden
Germany,https://countryflagsapi.com/png/Germany
Italy,https://countryflagsapi.com/png/Italy
Chile,https://countryflagsapi.com/png/Chile
Norway,https://countryflagsapi.com/png/Norway
Finland,https://countryflagsapi.com/png/Finland
Luxembourg,https://countryflagsapi.com/png/Luxembourg
Russia,https://countryflagsapi.com/png/Russia
Denmark,https://countryflagsapi.com/png/Denmark
Spain,https://countryflagsapi.com/png/Spain
Japan,https://countryflagsapi.com/png/Japan
Brazil,https://countryflagsapi.com/png/Brazil
Paraguay,https://countryflagsapi.com/png/Paraguay
China PR,https://countryflagsapi.com/png/China PR
Canada,https://countryflagsapi.com/png/Canada
Estonia,https://countryflagsapi.com/png/Estonia
Guatemala,https://countryflagsapi.com/png/Guatemala
Czechoslovakia,https://countryflagsapi.com/png/Czechoslovakia
Poland,https://countryflagsapi.com/png/Poland
Yugoslavia,https://countryflagsapi.com/png/Yugoslavia
New Zealand,https://countryflagsapi.com/png/New Zealand
Romania,https://countryflagsapi.com/png/Romania
Latvia,https://countryflagsapi.com/png/Latvia
Portugal,https://countryflagsapi.com/png/Portugal
Northern Ireland,https://countryflagsapi.com/png/Northern Ireland
Australia,https://countryflagsapi.com/png/Australia
Lithuania,https://countryflagsapi.com/png/Lithuania
Turkey,https://countryflagsapi.com/png/Turkey
Mexico,https://countryflagsapi.com/png/Mexico
Aruba,https://countryflagsapi.com/png/Aruba
Soviet Union,https://countryflagsapi.com/png/Soviet Union
Haiti,https://countryflagsapi.com/png/Haiti
Philippines,https://countryflagsapi.com/png/Philippines
Bulgaria,https://countryflagsapi.com/png/Bulgaria
Jamaica,https://countryflagsapi.com/png/Jamaica
Kenya,https://countryflagsapi.com/png/Kenya
Czech Republic,https://countryflagsapi.com/png/Czech Republic
Peru,https://countryflagsapi.com/png/Peru
Honduras,https://countryflagsapi.com/png/Honduras
British Guyana,https://countryflagsapi.com/png/British Guyana
Uganda,https://countryflagsapi.com/png/Uganda
El Salvador,https://countryflagsapi.com/png/El Salvador
Barbados,https://countryflagsapi.com/png/Barbados
Irish Free State,https://countryflagsapi.com/png/Irish Free State
Trinidad and Tobago,https://countryflagsapi.com/png/Trinidad and Tobago
Greece,https://countryflagsapi.com/png/Greece
Curaçao,https://countryflagsapi.com/png/Curaçao
Egypt,https://countryflagsapi.com/png/Egypt
Dominica,https://countryflagsapi.com/png/Dominica
Guadeloupe,https://countryflagsapi.com/png/Guadeloupe
Palestine,https://countryflagsapi.com/png/Palestine
Netherlands Guyana,https://countryflagsapi.com/png/Netherlands Guyana
French Guiana,https://countryflagsapi.com/png/French Guiana
Cuba,https://countryflagsapi.com/png/Cuba
Colombia,https://countryflagsapi.com/png/Colombia
Saint Kitts and Nevis,https://countryflagsapi.com/png/Saint Kitts and Nevis
Éire,https://countryflagsapi.com/png/Éire
Panama,https://countryflagsapi.com/png/Panama
Bohemia and Moravia,https://countryflagsapi.com/png/Bohemia and Moravia
Slovakia,https://countryflagsapi.com/png/Slovakia
Manchuria,https://countryflagsapi.com/png/Manchuria
Croatia,https://countryflagsapi.com/png/Croatia
Costa Rica,https://countryflagsapi.com/png/Costa Rica
Afghanistan,https://countryflagsapi.com/png/Afghanistan
Martinique,https://countryflagsapi.com/png/Martinique
Southern Rhodesia,https://countryflagsapi.com/png/Southern Rhodesia
Iceland,https://countryflagsapi.com/png/Iceland
Albania,https://countryflagsapi.com/png/Albania
Madagascar,https://countryflagsapi.com/png/Madagascar
Northern Rhodesia,https://countryflagsapi.com/png/Northern Rhodesia
Tanganyika,https://countryflagsapi.com/png/Tanganyika
Iran,https://countryflagsapi.com/png/Iran
Ecuador,https://countryflagsapi.com/png/Ecuador
French Somaliland,https://countryflagsapi.com/png/French Somaliland
Belgian Congo,https://countryflagsapi.com/png/Belgian Congo
Mauritius,https://countryflagsapi.com/png/Mauritius
Hong Kong,https://countryflagsapi.com/png/Hong Kong
Vietnam,https://countryflagsapi.com/png/Vietnam
Macau,https://countryflagsapi.com/png/Macau
Republic of Ireland,https://countryflagsapi.com/png/Republic of Ireland
Ethiopia,https://countryflagsapi.com/png/Ethiopia
Suriname,https://countryflagsapi.com/png/Suriname
Puerto Rico,https://countryflagsapi.com/png/Puerto Rico
Réunion,https://countryflagsapi.com/png/Réunion
Israel,https://countryflagsapi.com/png/Israel
Sierra Leone,https://countryflagsapi.com/png/Sierra Leone
Zanzibar,https://countryflagsapi.com/png/Zanzibar
Bolivia,https://countryflagsapi.com/png/Bolivia
Gold Coast,https://countryflagsapi.com/png/Gold Coast
South Africa,https://countryflagsapi.com/png/South Africa
Netherlands Antilles,https://countryflagsapi.com/png/Netherlands Antilles
New Caledonia,https://countryflagsapi.com/png/New Caledonia
Fiji,https://countryflagsapi.com/png/Fiji
Nigeria,https://countryflagsapi.com/png/Nigeria
Venezuela,https://countryflagsapi.com/png/Venezuela
Ceylon,https://countryflagsapi.com/png/Ceylon
French Polynesia,https://countryflagsapi.com/png/French Polynesia
Gambia,https://countryflagsapi.com/png/Gambia
Singapore,https://countryflagsapi.com/png/Singapore
Portuguese Guinea,https://countryflagsapi.com/png/Portuguese Guinea
German DR,https://countryflagsapi.com/png/German DR
New Hebrides,https://countryflagsapi.com/png/New Hebrides
Burma,https://countryflagsapi.com/png/Burma
Saarland,https://countryflagsapi.com/png/Saarland
Cambodia,https://countryflagsapi.com/png/Cambodia
India,https://countryflagsapi.com/png/India
Lebanon,https://countryflagsapi.com/png/Lebanon
Pakistan,https://countryflagsapi.com/png/Pakistan
Malaya,https://countryflagsapi.com/png/Malaya
South Korea,https://countryflagsapi.com/png/South Korea
Vietnam Republic,https://countryflagsapi.com/png/Vietnam Republic
Togo,https://countryflagsapi.com/png/Togo
Indonesia,https://countryflagsapi.com/png/Indonesia
Sudan,https://countryflagsapi.com/png/Sudan
Malta,https://countryflagsapi.com/png/Malta
Syria,https://countryflagsapi.com/png/Syria
Tunisia,https://countryflagsapi.com/png/Tunisia
Nyasaland,https://countryflagsapi.com/png/Nyasaland
Ghana,https://countryflagsapi.com/png/Ghana
Morocco,https://countryflagsapi.com/png/Morocco
United Arab Republic,https://countryflagsapi.com/png/United Arab Republic
North Korea,https://countryflagsapi.com/png/North Korea
Dahomey,https://countryflagsapi.com/png/Dahomey
Guinea-Bissau,https://countryflagsapi.com/png/Guinea-Bissau
Mali Federation,https://countryflagsapi.com/png/Mali Federation
Mali,https://countryflagsapi.com/png/Mali
Vietnam DR,https://countryflagsapi.com/png/Vietnam DR
Cyprus,https://countryflagsapi.com/png/Cyprus
Iraq,https://countryflagsapi.com/png/Iraq
Saint Lucia,https://countryflagsapi.com/png/Saint Lucia
Senegal,https://countryflagsapi.com/png/Senegal
Libya,https://countryflagsapi.com/png/Libya
Gabon,https://countryflagsapi.com/png/Gabon
Thailand,https://countryflagsapi.com/png/Thailand
Congo,https://countryflagsapi.com/png/Congo
Tanzania,https://countryflagsapi.com/png/Tanzania
